genesymbols	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs
STS	1	1	1	16.8422716125063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19.6962313532045	1	1	13.7392619536427	1
STT3A	178.596190536344	27.8914517959252	33.6525774681027	23.0023487977582	1	1	23.3998740283361	1	1	1	1	21.5470206401412	1	49.8506413291461	29.3225022829906	1	1	1	18.3167535226332	36.2551309717666	1	41.6400447427086	133.094615034309
STT3B	349.832221186641	212.639242429613	128.238455801636	68.5999657049533	51.7811864189705	47.9003957885205	190.223045427731	53.9341787111964	67.5259365182092	136.544107046196	52.2455994779588	131.631703208691	99.5736567294499	84.0973337341474	128.532653009491	92.189080235107	209.787641010803	60.5358372905558	67.1445191480567	153.662475586197	109.952313261796	99.0067859816798	86.0741765111222
STUB1	40.3981801631406	47.638489289266	99.562950974125	22.3908363931979	35.6500676598389	1	46.0621511163051	1	24.4554832786554	46.3664619416496	1	36.5053506600997	36.4837729190709	54.3655021910614	55.470119736266	32.6106392717149	75.1888417934282	17.6689190682983	25.5256825872397	23.4043906330811	15.258284850627	32.7390066247785	30.7185651876727
STX10	9.21205800745712	1	45.6472909027485	72.3275882109153	43.7176352166707	38.9854510428272	1	20.5179284629713	22.9963861812947	1	103.300906167443	31.2828133006902	1	1	1	113.791736647558	1	38.2808191363173	48.1118784317422	23.3992659020621	60.9425554132293	30.5783271236676	1
STX11	42.4093384555245	1	75.9386658511538	193.394071982709	262.795241400351	351.456555710288	1	222.670661609717	1	80.7917971403976	229.078969644957	1	1	53.530954689253	1	398.517569121811	80.6885243826636	150.949224166478	281.171890319344	70.9071757661363	338.619801932518	94.5343821250678	1
STX12	32.5130675555956	23.2428194188225	15.3124522449256	95.2018975277358	1	46.1084964216474	15.2477878954622	43.579291839767	43.0539266637275	1	33.2538805817326	35.7414221445244	51.214778267608	51.5848822242278	42.7539148894301	1	1	47.2860334602602	83.0693694352435	13.9871429241169	35.5027211184719	74.0561826463357	54.645190708653
STX16	74.362168392855	263.739712953854	124.543961114753	128.852312759925	122.306861041203	162.244440710033	228.19790851308	150.836941406082	166.176195501884	300.991804894097	166.809948336487	185.154548371961	245.253063176839	180.568847358356	174.687712807041	271.21808707757	222.539386727859	172.925266119151	184.255642549311	94.3068681834393	215.224775091074	129.459639513117	94.7398894159211
STX16.NPEPL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
STX17	32.8399011349295	75.2815073735145	55.5127503547668	22.2481791599072	34.76417755862	1	89.0212150373614	18.4708053873012	46.494417363943	76.3869750419857	1	61.9822845400529	58.1669237420327	104.410295380937	74.0352025155402	22.8766792222868	1	23.9656104248654	21.4457891624497	29.677061772433	14.1683861196596	30.2124512470916	30.5766108161666
STX17.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
STX18	20.6591688696067	1	20.3200954062013	1	1	1	17.2750621377344	1	1	1	1	15.3839189904518	1	19.0383777273239	21.0876306495139	1	1	1	24.4890543201243	13.2922984009265	1	25.4967600469707	44.9802369324971
STX18.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.4942574767874	1	1	1	1	1	1	1	1	1
STX19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
STX1A	1	1	1	1	66.4268365129776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
STX1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
STX2	10.5731806635603	63.232069103478	35.8770655281395	22.2339227791456	1	1	53.5141575019746	1	18.6654244830186	1	1	27.2809371521702	41.8430139035399	24.3627759660307	38.5467626157886	1	1	1	1	1	25.4002151283936	16.2280823479777	28.5520044083207
STX3	7.59544980653414	1	12.9907495675451	69.3320775853063	179.469156009837	430.946346506489	1	376.30812086528	1	291.488367493884	521.386494648811	57.3815528756021	1	18.5753994159724	40.0327180545753	470.652779143005	573.191961247335	279.503580234163	18.0630637040225	108.937184904101	263.353812729564	63.2866109375186	1
STX4	20.3551666008312	1	44.866500100279	32.0046259799334	37.7900917027631	1	64.6303345752688	37.4791743346014	30.2325180479298	57.5985245080799	48.7241673381673	26.7298084268536	24.3142378472384	66.5284742439549	45.7630970940241	1	1	32.2726498614166	38.5732417943597	33.7073747522748	24.5483235668543	17.0003061584943	1
STX5	41.4199408051267	1	21.9080808473434	28.5640199801203	1	42.2839162370774	17.9069193074681	30.2538615158093	27.4383677623062	42.6384067497349	1	1	33.5220589550745	41.6032553442094	19.4485134234638	36.104635320569	1	30.105480211826	26.8926326148232	11.6063768220719	29.2067910834722	33.0836364667821	76.3289646087113
STX6	1	27.6066749149852	41.81924222224	42.5819682441545	37.8967103572287	1	1	26.1229279285535	23.1408400742404	1	1	13.7463599427024	1	45.5720477870336	36.8503343280027	51.5176404508113	1	37.0605305089674	35.4604512094602	1	27.0187725967329	41.0625743672396	1
STX7	23.8396767893633	1	25.5780065644782	107.074589382392	120.33686459747	127.951381701255	32.4255888954191	142.105870700743	186.88964181419	101.837522927829	121.810732876159	49.9309114156452	1	59.5423212403082	22.2905137363811	107.380729028085	93.2965912940904	107.738940253494	107.108604211027	59.5957918836348	159.317845945775	133.238177078872	209.937125237702
STX8	24.6351112782797	1	57.0531976326575	35.1913145793616	1	1	16.8694803718159	18.3506428094174	1	1	1	65.2650130132438	20.9904197728067	39.4777882747716	41.0460981470663	1	1	23.2390422565253	21.5808050866078	26.675378428243	34.668697073483	24.7693325602102	39.480819780123
STXBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
STXBP2	35.7969996616575	63.7346746245246	48.6399826074286	295.92866287395	374.94983785977	736.874662155926	55.2356933308745	788.711234725626	34.6007000099467	171.863241634358	286.855766551769	27.2666304933982	26.4626637346378	43.0687823895697	68.6532720124085	655.332953266803	593.899588538672	278.725820760606	497.401950587586	159.061127843048	458.924094068115	76.3315826207912	48.0913894293411
