Mixture,IL1R2_percent
qns31079_044,20.62370286667162
qns31079_045,0.42482235624080955
qns31079_046,0
qns31079_047,0
qns31079_048,12.950949281148516
qns31079_053,4.021596640091432
qns31079_054,9.411208167605983
qns31079_055,1.6118077899192433
qns31079_056,20.262345989422624
qns31079_057,19.17561778809028
qns31079_058,37.75771637235028
qns31079_059,1.2781428214965744
qns31079_061,4.420532756598416
qns31079_062,6.67229869124502
qns31079_068,8.176140560181217
qns31079_069,14.230804840475628
qns31079_070,7.635920511099319
qns31079_071,35.87993839155247
qns31079_072,0
qns31079_075,0
qns31079_076,7.4634664472177645
qns31079_077,7.810190254445776
qns31079_079,3.812411770196299
qns31079_080,0
qns31079_081,0
qns31079_083,0
qns31079_084,7.746175948811737
qns31079_085,9.055055208338029
qns31079_086,7.403673095700143
qns31079_087,0
qns31079_088,0
qns31079_089,18.101212013940096
qns31079_090,0
qns31079_092,0
qns31079_093,13.616611228287596
qns31079_094,12.747546050261382
qns31079_188,0
qns31079_190,14.964665495615318
qns31079_191,0.08783729868103694
qns31079_192,1.9287035133391202
qns31079_194,1.1657908188122743
qns31079_195,9.478656743452023
qns31079_196,29.28950875702643
qns31079_197,10.875151111134459
qns31079_198,7.652887816273781
qns31079_199,0.34701989494123325
qns31079_201,9.010350684267094
qns31079_202,28.827606755007796
qns31079_203,0
qns31079_204,33.08740444960341
qns31079_205,2.9086411045056755
qns31079_206,26.86114449859607
qns31079_207,0
qns31079_208,0
qns31079_209,13.409524817426233
qns31079_211,10.483432441496316
qns31079_212,0
qns31079_213,0
qns31079_214,15.543613109262441
qns31079_215,39.3000975768049
qns31079_217,24.457851674875823
qns31079_218,31.06111161575944
qns31079_220,38.732000185037336
qns31079_221,20.771776870023064
qns31079_226,3.410981080151522
qns31079_227,12.11981333569622
qns31079_228,4.3178541830597315
qns31079_229,20.653862059124855
qns31079_230,0
qns31079_231,0
qns31079_232,33.997455012680824
qns31079_233,15.819744865112256
qns31079_234,9.628962800678648
qns31079_236,0.10317784973295108
qns31079_237,8.67263570773008
qns31079_239,14.231801596671655
qns31079_240,0
qns31079_241,14.021050250305587
qns31079_242,3.936665240572264
qns31079_243,0
qns31079_244,0
qns31079_245,13.877971692450913
qns31079_246,3.6036954413670346
qns31079_247,0
qns31079_250,0
qns31079_251,0
qns31079_252,16.835643775389407
qns31079_254,11.472127153802528
qns31079_256,20.12825308023928
qns31079_257,0
qns31079_258,0
qns31079_259,1.1166956179863792
qns31079_260,8.890639767508057
qns31079_261,30.02462540051078
qns31079_262,14.973563392309297
qns31079_263,0
qns31079_264,29.54987601249202
qns31079_265,0
qns31079_266,0
qns31079_267,0
qns31079_268,0
qns31079_269,0
qns31079_273,0
qns31079_274,6.990101617848253
qns31079_275,4.0617420113139815
qns31079_276,3.103358573864861
qns31079_277,0
qns31079_278,9.758779006565433
qns31079_279,0
qns31079_280,0.10962250109844889
qns31079_281,0
qns31079_282,0
qns31079_283,0
qns31079_284,10.731122888376717
qns31079_285,0.2100800656444416
qns31079_286,11.32660323016526
qns31079_287,0.5565204167526917
qns31079_288,12.223462316632837
qns31079_289,10.125806051180282
qns31079_291,0
qns31079_292,0
qns31079_293,0
qns31079_294,2.775980828715465
qns31079_295,0.0446865494449931
qns31079_296,6.073381950015098
qns31079_297,0
qns31079_298,8.577918347735205
qns31079_299,6.237532235994842
qns31079_303,0
qns31079_304,11.869729878742469
qns31079_305,3.0830602107306033
qns31079_306,30.945269688360504
qns31079_307,8.872829546374565
qns31079_308,0
qns31079_309,24.64918407996658
qns31079_311,12.352599222810547
qns31079_312,4.2370671853728465
qns31079_313,5.263754090307045
qns31079_314,8.472676974505355
qns31079_315,0
qns31079_317,0
qns31079_318,0.8906899323737243
qns31079_319,0
qns31079_320,5.685704419694722
qns31079_321,0
qns31079_322,19.60028272035083
qns31079_323,6.872306307184367
qns31079_324,0
qns31079_326,13.404279872687571
qns31079_327,1.676795964856787
qns31079_328,4.339288384375579
qns31079_329,1.7708265518125585
qns31079_330,14.179099671420792
qns31079_331,2.4075093005451293
qns31079_332,2.1109979892204533
qns31079_333,22.546407547165277
