Mixture,IL1R2_absolute
qns31079_044,416.8511788489467
qns31079_045,4.047860231244707
qns31079_046,0
qns31079_047,0
qns31079_048,138.14988985593843
qns31079_053,36.654997083278424
qns31079_054,175.3571484904928
qns31079_055,13.648809252302597
qns31079_056,372.8401551554971
qns31079_057,233.37447738753542
qns31079_058,1120.1706363555493
qns31079_059,12.367189906101288
qns31079_061,37.84435928670176
qns31079_062,77.73174690473707
qns31079_068,101.84752973435964
qns31079_069,180.0008021975689
qns31079_070,88.6802378775402
qns31079_071,946.4290121718525
qns31079_072,0
qns31079_075,0
qns31079_076,80.51973544016631
qns31079_077,129.98690184387155
qns31079_079,28.046630553172346
qns31079_080,0
qns31079_081,0
qns31079_083,0
qns31079_084,128.63935950951543
qns31079_085,169.46147011587823
qns31079_086,99.39619498707185
qns31079_087,0
qns31079_088,0
qns31079_089,389.33537406902803
qns31079_090,0
qns31079_092,0
qns31079_093,311.68069796600173
qns31079_094,171.67720804853568
qns31079_188,0
qns31079_190,196.61568648264827
qns31079_191,1.2393587597645244
qns31079_192,23.66971526707547
qns31079_194,11.809656918161595
qns31079_195,132.02224790949245
qns31079_196,513.6634569724478
qns31079_197,182.66709393090827
qns31079_198,107.74306934181627
qns31079_199,3.524359987090316
qns31079_201,100.12420277018018
qns31079_202,584.7147364113493
qns31079_203,0
qns31079_204,754.3288665223214
qns31079_205,34.78994144971736
qns31079_206,622.1417217472182
qns31079_207,0
qns31079_208,0
qns31079_209,201.1615956393696
qns31079_211,159.92261809063902
qns31079_212,0
qns31079_213,0
qns31079_214,312.74578679074807
qns31079_215,1008.2950835401718
qns31079_217,449.3584847661712
qns31079_218,901.5431826624239
qns31079_220,1207.7679369733037
qns31079_221,430.5793969066484
qns31079_226,38.906814999271006
qns31079_227,149.10024331964297
qns31079_228,46.44136574978073
qns31079_229,335.4119924915386
qns31079_230,0
qns31079_231,0
qns31079_232,1077.7971722704042
qns31079_233,198.9777355119843
qns31079_234,176.51069737512654
qns31079_236,1.024176389943323
qns31079_237,119.88118645814235
qns31079_239,202.1784552968723
qns31079_240,0
qns31079_241,222.00231080613628
qns31079_242,48.27048489667545
qns31079_243,0
qns31079_244,0
qns31079_245,168.47029083356853
qns31079_246,27.410373716987927
qns31079_247,0
qns31079_250,0
qns31079_251,0
qns31079_252,245.10965616389146
qns31079_254,259.8539688156031
qns31079_256,594.5604173965969
qns31079_257,0
qns31079_258,0
qns31079_259,10.605660258181588
qns31079_260,125.95932293006643
qns31079_261,607.4790493201964
qns31079_262,216.5748445384688
qns31079_263,0
qns31079_264,746.0562192101946
qns31079_265,0
qns31079_266,0
qns31079_267,0
qns31079_268,0
qns31079_269,0
qns31079_273,0
qns31079_274,83.83214146403547
qns31079_275,58.06419224044915
qns31079_276,40.66897070114798
qns31079_277,0
qns31079_278,80.63344565950055
qns31079_279,0
qns31079_280,1.3784309498011524
qns31079_281,0
qns31079_282,0
qns31079_283,0
qns31079_284,195.03467905967707
qns31079_285,2.9680018477914545
qns31079_286,118.38845965964103
qns31079_287,5.869129390562524
qns31079_288,181.58525138469219
qns31079_289,158.20748901841964
qns31079_291,0
qns31079_292,0
qns31079_293,0
qns31079_294,27.00379259532092
qns31079_295,0.5568023812956641
qns31079_296,69.20012940451548
qns31079_297,0
qns31079_298,108.30934251173056
qns31079_299,45.942679839981494
qns31079_303,0
qns31079_304,161.6110109296037
qns31079_305,29.299700799096335
qns31079_306,1072.092064878655
qns31079_307,149.55599122149624
qns31079_308,0
qns31079_309,436.74198968017953
qns31079_311,120.12898354329275
qns31079_312,47.55026847032428
qns31079_313,46.51253933333715
qns31079_314,98.36606094803672
qns31079_315,0
qns31079_317,0
qns31079_318,9.027543644681671
qns31079_319,0
qns31079_320,65.35831206601058
qns31079_321,0
qns31079_322,368.2393194708827
qns31079_323,97.77939313398592
qns31079_324,0
qns31079_326,238.59358815636466
qns31079_327,13.595691721152766
qns31079_328,20.964772410499982
qns31079_329,14.436885075868112
qns31079_330,179.46228583425093
qns31079_331,18.470775026902135
qns31079_332,37.36492431195603
qns31079_333,472.8869804998841
