"gene","EXT_gains8033179","EXT_21_03_2013_F01_2475.CEL","EXT_19_03_2013_A12_2360467.CEL","EXT_gains8033964","EXT_gains8032982","EXT_FP0055_1","EXT_22_01_2013_E09_1552.CEL","EXT_gains8033053","EXT_13_02_2013_A07_2071168.CEL","EXT_FP0091_1","EXT_gains8033445","EXT_gains8033204","EXT_FP0024_1","EXT_gains8033202","EXT_12_03_2013_F04_2888440.CEL","EXT_27_03_2013_D10_2849655.CEL","EXT_06_02_2013_C06_2084599.CEL","EXT_13_03_2013_F10_2805753.CEL","EXT_27_03_2013_F04_3379.CEL","EXT_gains8033469"
"ENSG00000004939",7.12688590428917,7.08644509798324,7.45534424274125,5.55711193944719,8.64159445008713,4.64446499863743,7.52036290552602,6.05672667343078,3.69875747126906,6.58075635723571,5.1535320218405,3.86995664947168,4.19250021678871,8.40708550138565,4.83953470266675,5.4377809711223,8.38642562171425,6.64729274304735,6.1901153326739,4.96030215049179
"ENSG00000021355",11.5913056448773,9.22716486593988,10.6086173393715,9.41469908947744,9.47872860595604,11.1225942138044,9.83704821468117,11.8612506196133,11.0360787793623,10.7131197400167,11.1892960180345,11.4196327729623,11.3596495891693,9.05621733740806,9.50646195940888,10.4771702181998,8.32550513096358,9.50670795549166,10.7913131128968,11.312743454192
"ENSG00000066926",4.52016750734319,4.36689769510948,6.28779708537186,4.85372476563475,6.45199651093525,3.90446306869233,5.92698308514054,3.93273689375774,3.26720492879637,4.63403913130293,3.58196459348473,3.80222410885844,3.98998145637883,5.71152795778886,3.3023374226905,4.66347615791364,5.37236617348733,5.03921298895255,5.08941329861674,3.91736421482653
"ENSG00000078124",8.45915096076985,5.88197427382051,5.68327569868271,6.14213128938693,5.68407051405565,8.00938388880888,6.1264986229061,8.15147947555974,7.21003023430184,7.41207822001335,7.7922040158885,8.18638511057597,7.52909219317376,5.41448109893915,5.84215281279403,6.3144479045025,5.36685085660695,5.99044287007527,7.01340762807905,7.69598650223435
"ENSG00000091106",8.46746700774382,6.6592777792598,5.64211699514553,6.58547502553538,6.58306315126686,7.88362926332599,6.44783398187768,7.75453986459166,8.69605815115804,7.83491414654927,8.60925591145495,8.18143081164043,7.97970643475574,6.29660057709886,5.98829059040535,7.12286170074665,5.56827926235616,6.62104554054925,8.25443286050805,8.16492833841354
"ENSG00000111801",4.34302269553089,7.16235374437628,4.22054473780419,5.72520036190149,5.67241079130158,2.19635932451183,5.17069747606693,3.24101051189717,4.5288627142259,4.53711888080036,5.49931048382659,4.41049817213542,4.72261981342769,6.22442566472156,5.40356725342515,4.5350239347478,6.35424447579746,6.4381259217043,3.69460440429804,3.98271247604261
"ENSG00000112335",9.9578564433691,8.13482226692102,8.46413871388103,8.56733975831253,8.58302437223839,9.21159975064777,8.06091276327489,9.37001882192417,9.72280892130105,9.52709568010444,9.67894724890338,10.1049918695698,9.84556747524622,7.98142825286207,7.77836059660103,8.44707417557342,7.89467865564847,8.60233036795393,9.36415904214239,9.98654534195602
"ENSG00000116717",10.0998246038604,6.62435998343276,6.16747355381925,7.00545890088144,7.18294612372459,9.78603680455413,6.73195445433391,9.88663893418531,9.65031093604212,9.41197924272242,8.93479365760903,9.64532965922351,9.04214448677696,6.06056123154623,6.31196619671593,7.43982489852969,5.67746834589671,6.8766511055592,9.11836161911452,9.79449522418112
"ENSG00000133742",6.3527710780432,5.68963224094202,7.71485236435134,5.34337213642307,8.66104863595358,3.61073437963389,6.68534099138189,4.02297979700907,4.6642673801187,5.11329681442902,4.12539092801035,4.08195143668262,4.01877432585149,7.10379907000943,2.63461280034334,4.68195557840072,6.433415200822,6.00468802444643,6.03027452571633,4.26442478236741
"ENSG00000142657",11.5395986863919,10.3442173974947,10.4790252027003,9.8641113456854,10.0907013540226,11.4222313928271,9.64173177680714,11.1472174650162,11.3719750138023,10.9607639661488,11.3662413110463,11.3636204308401,11.2240568708356,9.52062171324334,9.99390186385763,10.4615584278982,10.0079823981951,9.9235232567857,11.046736210007,11.175688435738
"ENSG00000148175",10.4842166584403,7.15010309203769,8.23198166529135,8.84206898929747,8.29519852953347,10.3490702262251,7.72221988850543,10.2503416746315,10.3716709211703,9.35548566393683,10.3528179280569,10.6492415134167,10.6881262158995,7.27386169488221,6.60630013934684,7.8410992985756,7.19608688908301,7.65328041251023,9.53902987349414,10.3692480869748
"ENSG00000156414",8.57103063272492,4.51806439709322,4.40922713891936,4.74356718422788,6.14216427960768,8.10486850850707,5.31386807396617,6.72654055136393,8.46012333111442,8.48398981490402,7.64888231040416,7.94240656029069,8.27578049311388,4.31566137750365,4.39277160787033,5.9379076207853,4.43319274082895,5.81517388654011,8.34306622399938,7.37378972380725
"ENSG00000160883",11.6307197476904,8.90698373188164,9.40095649291194,9.11311527740775,9.67625707432924,11.3890025028752,9.71452242545337,11.4143054404538,11.1214135338936,11.2667879359992,11.2759362027702,11.6688138918588,11.2742086643413,8.83109217388299,9.7443966714535,10.4302734254586,8.74738681214455,9.91600260458713,10.7263005472731,11.3945431422177
"ENSG00000166947",4.67588890368887,5.79481751144241,6.54540967797628,5.05586011544898,8.36236870367387,4.10435010666531,5.71850369127901,4.26123965461698,3.51415072859031,5.63716679668969,4.30140040292962,3.34291334494965,3.70194762273875,7.38538984277112,4.10697778410588,5.15843007367309,7.0409386620446,5.53118204833424,6.29192567464881,3.99346033012817
"ENSG00000172331",5.78377932910412,4.96440310005903,6.49917618463268,4.42878499291365,6.66435997261227,4.68445274730851,5.87283929021586,4.81385959751877,4.31971600579396,5.16626172087229,5.61830915550956,5.68651854714889,5.18581462500135,6.23910062888338,3.63883684971159,4.40921754518959,5.66015853133492,5.25678625148346,5.66933893276875,5.49013968854039
"ENSG00000182512",6.92928933270147,8.59059816225715,8.26579696084155,7.52958024551295,9.19081853220792,6.04504363871789,8.39392498240738,7.30781704878534,6.32233345804549,7.54924589272816,6.7587169340628,6.74169280564593,6.71977029297679,8.82805526136712,6.50917136445433,7.2728328305983,8.21804522316035,7.71845618789431,7.73348966668308,6.64207900503733
"ENSG00000186591",9.19620845628039,7.0941875993559,6.91793451485886,7.25085879811894,7.09950971020207,8.98307365759019,7.11198621720165,8.64524974448235,7.85605407710872,8.8381548900053,8.39201795221922,9.04770094733651,8.56674389398357,6.90952129612653,6.58692417599299,6.56730896513665,7.31569075741943,7.02444878976009,8.37480679887289,8.85558746120445
"ENSG00000197006",9.49647084159403,8.44578398011987,8.10507793231413,7.7867947356768,8.02049252313149,9.1964489516984,8.21765788587562,9.05886883524184,9.10601083984923,8.80953784195023,9.49583623464987,9.44817852388125,9.34786056595748,7.33592852037,7.33284863865656,8.26285577004428,7.0501578033433,7.94531370218343,8.92302635450835,9.50330611987298
