Mixture,TS1,TS2,TS3,BS1,BS2,BS3,NS1,NS2,MS1,MS2,MS3,MS4,DS1,DS2,DS3,MK
qns31079_044,4.498987327795797,0,6.235448751523511,0,1.5882261491453256,7.349781381772728,1.961482154700122,0,43.498596642842976,7.064548228636705,16.9630596811508,0,0.09162537737909868,1.0943896761394347,3.333798291018475,6.320056337895018
qns31079_045,8.69158909822077,0.17935630856325052,7.707216154632825,1.3844184888117341,3.8325708437708945,7.427968770802148,4.465447507244908,3.477850263717222,24.079009335705585,8.215471837542282,11.281118109191816,0,2.988103740386714,3.69298486660333,5.56953212947476,7.007362545331752
qns31079_046,8.785437842035721,0,8.249642648982732,2.7292868765638914,4.208589915565076,8.050774738170686,4.60574994444105,1.7677829760551298,22.836060882481046,7.730100075479596,11.804262297868323,0,0.921050794015068,3.033190800607951,5.281675711344099,9.99639449638963
qns31079_047,2.423917161738729,0,5.6541270374025014,0,2.748487483761004,6.011781358527828,3.40623240194068,0.8567895620132323,36.126010317387156,16.83709800242911,12.930112981618166,0,0.6868771628427297,1.1821619816041116,4.769649197532338,6.366755351202419
qns31079_048,9.883359069185675,0,7.711068986050725,0,3.7046402555086564,7.396717341350907,3.8834760544979696,1.6922790296332608,33.94108152628745,9.536787057779033,11.095729031289462,0,0.9707247993521767,1.327309340799326,4.83631183084462,4.020515677420751
qns31079_053,5.389774831898073,0,7.83827483365534,1.2898120371865975,3.5796268509898277,7.140785074715543,5.244758247306548,1.682231759286396,26.85693759841672,11.213079473090419,12.184821419171593,0,1.9059974525694627,3.0709192636827707,5.0229012615211195,7.580079896509583
qns31079_054,5.241869374250017,0,7.080743715971178,0.3913931611150217,3.8388936054204543,6.966386365513679,5.6566046708033575,1.654852094476015,36.44147422128648,8.39803507230443,11.150112490799659,0,2.092110325103599,2.313565788965648,5.2142965039895834,3.5596626100008883
qns31079_055,5.70143490399101,0,9.03678857582908,0,3.7718385231807776,7.531801671329706,4.4216282461744365,2.536946248628804,28.901632231075396,8.011635437333362,14.923896665610279,0,2.5445573233423624,3.1734070862357417,5.463836715530868,3.9805963717381805
qns31079_056,0,0,6.832967131570442,0,1.4900582590361764,5.941693592711918,3.9294203325068824,0.22430949416863263,52.05373508535456,0.6539065073295998,14.27469465897655,0,1.9201120612111495,0.8337226575957873,4.902418237222135,6.942961982316167
qns31079_057,2.3144862096263505,0,7.379189040513015,0,2.5044300405441793,6.214706165753705,3.9414587752509047,1.493909547546378,43.70701506447713,0,20.254164755650958,0,1.8920134087993206,0.9134609986884796,5.996186263607123,3.3889797295424495
qns31079_058,0,0,9.448830008997168,0,3.1146777052364727,6.54479136653721,5.014409002885645,0,46.08024390504302,1.5570970115833607,15.529883675067635,0,1.8391456193410334,1.827813356088441,5.431846474049508,3.611261875170499
qns31079_059,1.2438787770892636,0,6.664439741885672,0,2.8150752118087423,5.666515277452905,3.989142826271979,2.3548610569358157,38.9320624928687,8.377271174468348,15.66046849224805,0,0.7762259554402663,1.6003519005281117,5.0971051348920655,6.822601958110068
qns31079_061,9.35418346909781,0.8029107545728565,7.801302749407939,2.214830615260824,4.2945210992686675,7.380012092577239,4.38400202877024,2.868542659617013,22.698159404070946,8.832391166545733,8.227573845885532,0,3.632997309812573,4.023658517377263,6.004023938422327,7.480890349313039
qns31079_062,5.317581844846461,0,9.268214430906871,0,3.9532059099830255,6.520015560373352,5.734158684501564,1.9912513722461427,33.20006789624238,2.1731414380371006,15.850704893448375,0,3.1263608506898812,3.575309905407636,5.818463321858538,3.4715238914586903
qns31079_068,4.720485846473948,0,7.820566886046389,0,3.841670548537234,7.586639672590205,5.431519220305081,2.8192982911771134,32.58397632761109,2.9880004346293325,13.218978370476808,0,2.7948457159751925,3.2014347583400466,5.508896457444889,7.483687470392667
qns31079_069,8.089444699552764,0,8.18792346852328,0.6180541050158906,3.344039255806312,7.493574655466903,5.328370614242485,2.554363423498221,24.480152433840743,8.080673746786148,11.007594921669277,0,1.9463782009723958,3.131199070136713,4.947431982479346,10.790799422009528
qns31079_070,2.5781763424187307,0,10.016565456754087,0,1.6649038699233027,7.415380973417625,4.784451828683225,0,30.622862129311844,16.067752692042784,14.20186702613905,0,0,1.2144289416020475,2.3346617767699307,9.09894896293737
qns31079_071,2.5460055385594935,0,7.169002847624982,0,2.983889218852904,6.188065890302575,3.5786935968344156,1.515940846751738,42.87827032238386,0,16.659808571589124,0,2.3234821998331077,1.6108465071775009,4.9401697685068395,7.605824691583457
qns31079_072,4.300819844040749,0,8.907151816299894,0,4.009826840166031,8.849956497165469,4.551775428563838,2.088469182405886,31.113106520249517,9.540530475646548,10.837852386714525,0,2.181584308219412,2.37951981800615,5.566450730094962,5.672956152427027
qns31079_075,7.777128892958649,0,9.157443100340137,0,4.261702556593576,7.628664552063419,3.690856301162102,0.705183006885791,27.49105081314197,9.773734175364279,14.085143820818782,0,0.9617038749299157,2.1761302259925523,5.723330034710333,6.567928645038479
qns31079_076,6.287665736825597,0,8.73576333864906,0.1015933175685435,3.051425822367841,8.049067941019807,5.188062391817632,1.9231424534317947,34.80937917238723,2.4599278747237165,11.691063693625324,0,2.7637737317433553,2.4871768385431867,5.8004965216159174,6.651461165680997
