"Group","HiIL6","Marker","Group1","Group2","p_value","significant"
"HV","LowIL6_M","IL_10","PP","KP",2.69726078940018e-16,TRUE
"HV","HighIL6_M","IL_8_1","LPS","M",0.0107432426349172,TRUE
"HV","HighIL6_M","IL_8_1","KP","M",0.19536084920836,FALSE
"HV","HighIL6_M","IL_8_1","PP","M",4.88735744905492e-05,TRUE
"HV","HighIL6_M","IL_8_1","KP","LPS",1,FALSE
"HV","HighIL6_M","IL_8_1","PP","LPS",0.798697740467314,FALSE
"HV","HighIL6_M","IL_8_1","PP","KP",0.0467825696284145,TRUE
"HV","HighIL6_M","IL_1beta","LPS","M",1.67647742759817e-12,TRUE
"HV","HighIL6_M","IL_1beta","KP","M",6.16351995440503e-15,TRUE
"HV","HighIL6_M","IL_1beta","PP","M",6.16351995440503e-15,TRUE
"HV","HighIL6_M","IL_1beta","KP","LPS",0.00191920480069181,TRUE
"HV","HighIL6_M","IL_1beta","PP","LPS",1,FALSE
"HV","HighIL6_M","IL_1beta","PP","KP",0.00777532428000051,TRUE
"HV","HighIL6_M","CCL3","LPS","M",0.000505663363674643,TRUE
"HV","HighIL6_M","CCL3","KP","M",0.000197196744505903,TRUE
"HV","HighIL6_M","CCL3","PP","M",0.000646528527495907,TRUE
"HV","HighIL6_M","CCL3","KP","LPS",1,FALSE
"HV","HighIL6_M","CCL3","PP","LPS",1,FALSE
"HV","HighIL6_M","CCL3","PP","KP",1,FALSE
"HV","HighIL6_M","IL_1RA","LPS","M",0.000890879738376356,TRUE
"HV","HighIL6_M","IL_1RA","KP","M",7.18444212928899e-05,TRUE
"HV","HighIL6_M","IL_1RA","PP","M",0.000180424338522533,TRUE
"HV","HighIL6_M","IL_1RA","KP","LPS",1,FALSE
"HV","HighIL6_M","IL_1RA","PP","LPS",1,FALSE
"HV","HighIL6_M","IL_1RA","PP","KP",1,FALSE
"HV","HighIL6_M","CCL2","LPS","M",0.0919338667136132,FALSE
"HV","HighIL6_M","CCL2","KP","M",9.84314136718484e-12,TRUE
"HV","HighIL6_M","CCL2","PP","M",0.430750278778644,FALSE
"HV","HighIL6_M","CCL2","KP","LPS",3.05600677536199e-06,TRUE
"HV","HighIL6_M","CCL2","PP","LPS",1,FALSE
"HV","HighIL6_M","CCL2","PP","KP",3.90665467030031e-09,TRUE
"HV","HighIL6_M","CCL4","LPS","M",1.88071496820251e-07,TRUE
"HV","HighIL6_M","CCL4","KP","M",2.40818278074534e-08,TRUE
"HV","HighIL6_M","CCL4","PP","M",1.88071496820251e-07,TRUE
"HV","HighIL6_M","CCL4","KP","LPS",1,FALSE
"HV","HighIL6_M","CCL4","PP","LPS",1,FALSE
"HV","HighIL6_M","CCL4","PP","KP",1,FALSE
"HV","HighIL6_M","TNF","LPS","M",8.44080716816828e-06,TRUE
"HV","HighIL6_M","TNF","KP","M",2.77358397948226e-13,TRUE
"HV","HighIL6_M","TNF","PP","M",4.31446396808352e-14,TRUE
"HV","HighIL6_M","TNF","KP","LPS",0.00239411197020285,TRUE
"HV","HighIL6_M","TNF","PP","LPS",0.000197196744505903,TRUE
"HV","HighIL6_M","TNF","PP","KP",1,FALSE
"HV","HighIL6_M","IL_6","LPS","M",3.2757321136876e-09,TRUE
"HV","HighIL6_M","IL_6","KP","M",2.18453637743978e-10,TRUE
"HV","HighIL6_M","IL_6","PP","M",1.60537965630828e-05,TRUE
"HV","HighIL6_M","IL_6","KP","LPS",1,FALSE
"HV","HighIL6_M","IL_6","PP","LPS",0.0237758750029003,TRUE
"HV","HighIL6_M","IL_6","PP","KP",0.0211299010947285,TRUE
"HV","HighIL6_M","IL_10","LPS","M",9.0862611167839e-11,TRUE
"HV","HighIL6_M","IL_10","KP","M",7.39622394528604e-14,TRUE
"HV","HighIL6_M","IL_10","PP","M",4.83859793884653e-06,TRUE
"HV","HighIL6_M","IL_10","KP","LPS",0.309723479679928,FALSE
"HV","HighIL6_M","IL_10","PP","LPS",0.00485965962790363,TRUE
"HV","HighIL6_M","IL_10","PP","KP",8.0405238056078e-08,TRUE
