"","Sample","Sample.ID","Plate","qns","RIN","RNAseq","ID"
"57","qns31079_212","EB NL57847.018.21 1083_d0","qns31079_plate_3","qns31079",6.9,1,"1083"
"58","qns31079_213","EB NL57847.018.21 1084_d0","qns31079_plate_3","qns31079",6,1,"1084"
"59","qns31079_214","EB NL57847.018.21 1085_d0","qns31079_plate_3","qns31079",5.6,1,"1085"
"60","qns31079_215","EB NL57847.018.21 1086_d0","qns31079_plate_3","qns31079",6.6,1,"1086"
"61","qns31079_217","EB NL57847.018.21 1088_d0","qns31079_plate_3","qns31079",6.7,1,"1088"
"62","qns31079_218","EB NL57847.018.21 1089_d0","qns31079_plate_3","qns31079",6.2,1,"1089"
"63","qns31079_220","EB NL57847.018.21 1091_d0","qns31079_plate_3","qns31079",7.1,1,"1091"
"64","qns31079_221","EB NL57847.018.21 1092_d0","qns31079_plate_3","qns31079",6,1,"1092"
"65","qns31079_226","EB_2.0 NL57847.018.16 1098_d0","qns31079_plate_3","qns31079",6.2,1,"1098"
"66","qns31079_227","EB_2.0 NL57847.018.16 1100_d0","qns31079_plate_3","qns31079",6.5,1,"1100"
"67","qns31079_228","EB_2.0 NL57847.018.16 1101_d0","qns31079_plate_3","qns31079",6.2,1,"1101"
"68","qns31079_229","EB_2.0 NL57847.018.16 1102_d0","qns31079_plate_3","qns31079",5.7,1,"1102"
"69","qns31079_230","EB_2.0 NL57847.018.16 1103_d0","qns31079_plate_3","qns31079",6.1,1,"1103"
"70","qns31079_231","EB_2.0 NL57847.018.16 1104_d0","qns31079_plate_3","qns31079",6.5,1,"1104"
"71","qns31079_232","EB_2.0 NL57847.018.16 1105_d0","qns31079_plate_3","qns31079",5.8,1,"1105"
"72","qns31079_233","EB_2.0 NL57847.018.16 1106_d0","qns31079_plate_3","qns31079",6.1,1,"1106"
"73","qns31079_234","EB_2.0 NL57847.018.16 1107_d0","qns31079_plate_3","qns31079",5.7,1,"1107"
"74","qns31079_236","EB_2.0 NL57847.018.16 1109_d0","qns31079_plate_3","qns31079",5.9,1,"1109"
"75","qns31079_237","EB_2.0 NL57847.018.16 1110_d0","qns31079_plate_3","qns31079",6.3,1,"1110"
"76","qns31079_239","EB_2.0 NL57847.018.16 1112_DAY 0","qns31079_plate_3","qns31079",6.1,1,"1112"
