Mixture	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs	P-value	Correlation	RMSE	Absolute score (sig.score)
qns31079_245	1.35253238999262	1.4508236686678	0.619114983977121	0	1.31079341354164	0.880284959082116	0	4.83531377183243	3.01320345290869	0.366599434560651	6.41569320610929	0.590499183420572	0	0.372019513682983	0.519795218099535	0	0.666245022104593	2.22196698368528	4.46397168917281	0.998774676600014	2.53739851010428	1.60982455946396	0.616791382942312	0	0.967004836445477	0.312227850896919	34.8416460199487
qns31079_246	2.52202356551408	0.75299700937199	0.217969887180343	0.636727716139295	2.62595052046581	4.1339627625677	0.788029429146961	0.993874432763395	0.443976108101658	0.788667418684262	0	0.727351652174348	0.285624500054456	0.56701047781392	1.67343699088595	2.60708723487145	0.906010133299462	0.333786301856918	1.82943899227445	0.873054877217991	3.41259108888876	0	0.459741551697555	0	0.97024089532508	0.400420139834716	27.5793126509708
qns31079_247	0.1568690038579	1.94174208697067	0.864924031601503	4.00463494596309	0.795823526195455	4.03536716220551	1.14179520682854	0	0.882604278718554	0.540224475836035	2.21857290404883	0.6137690713341	0	1.12224631584731	2.63371212099003	0	1.06338978430262	0.773936771271265	0.911433218956048	0	4.36716735780885	0	0.496269318855595	0	0.868237782473894	0.609840572195499	28.5644815815919
qns31079_250	2.77121865340131	2.08424327077041	0.227499523787273	1.45172139389139	0.709553221957258	7.12505300148382	1.43114861000836	0	0.0181685095967491	0.696012685956723	2.58989234699027	0.803330460976856	0.842837298116687	0.574328285454286	0.617690640483674	0	0.8523953024074	3.27257751421003	0.940802303336594	0.452972401295331	3.784740263922	0.536975298596472	0.232044641825996	0	0.966587073987107	0.349200586238178	32.0152056284689
qns31079_251	0.20798062340476	0.809789157939653	1.77244490511471	0.0510175721407528	2.32572191028902	5.2630756261874	0.0683445324797324	0	0.733464235683017	0.866376665259925	3.42872240768389	0.991610681544006	0	0.160305075457109	1.69521155235633	0	0.815957725734822	0.700177220624665	1.54275691804921	1.78092397612838	2.30356819574769	0	0.515363365252904	0	0.925335181131329	0.528002560009678	26.032812347078
qns31079_252	0.248683175981176	1.23388997600217	0.778673279555328	1.51249548470866	0.674386150113902	2.37018812911197	1.2106672273306	6.42384531031333	1.29830743694232	0.0504364104732791	6.77265697377499	0.764271480082351	0	0.9674237578796	0.986128894244607	0	0.530296798467873	1.00897702990482	5.50627073857928	0.724388760900816	3.3039552749755	1.1709763791777	0.619301527251518	0	0.973915352413213	0.275265473887496	38.1562201957718
qns31079_254	0.345739598417535	2.24210803736452	1.58774504102318	1.42723147385257	0.526519773198258	0	0.571627798554524	5.45992469881484	0.934968591460394	0.675166850474341	0.657882166638103	1.50661131235114	0	0.357570941951872	1.02973746063439	10.4961259972162	0	2.59267951229558	1.68299484710257	0.854875159672809	14.1353534639817	0	0.508095630631419	0	0.990444634208263	0.288042222777936	47.592958355636
qns31079_256	4.48921039486425	3.2059479991416	0	0	1.36043387135796	2.15895624013197	1.24086251154253	10.9395898245096	0.0350465928639167	0.541735273384261	0	0.330068216957167	0	0.285399356405023	1.35541739408933	1.79502661957801	0.159185309370546	0.489658553547805	2.48719846576878	1.55040007069842	20.6502761742065	0.566375557585722	0.708636637860885	0	0.997083484782552	0.335075644642738	54.3494250638643
qns31079_257	1.01025144536876	1.39102807931374	0.751270488405887	2.75400929038036	1.62955177899236	4.92166162818312	0.097455043769042	0	0.716584364333024	0.914204589100145	2.48356215259566	0.836423392984513	0.141009869994545	0.454064279353538	1.66801030728602	0	0.943292631888717	0.919205356653103	0.634305971234869	0.504585769638882	2.1956405848248	0.651591902061013	0.230277672823123	0	0.915193711125318	0.575761098259356	25.8479865991852
qns31079_258	4.30850411514167	1.06758510266474	1.34756456734586	0.0795352625311522	0.686777772908457	2.69162271854039	2.52843825348226	0	2.58344736789708	0.585080354373436	5.30410451339164	0.0833273066545242	0	0.832264753089807	1.4316042125354	0	0.677409618706861	1.54170255523411	2.38162414721452	0.54020503323394	2.06348371657225	0	0.628121649657689	0	0.930367270108688	0.620798222405657	31.3624030211758
qns31079_259	0.509662404373087	2.24594530762106	0.29822989262415	1.54899813597335	0.882184832110886	8.88206751416564	0.703458647276858	0.344140877202399	1.0693343402247	0.728883260798243	0.687653136309574	0.90140146195496	0.356181721113619	0.970615448522018	1.96289727430459	0	0.380416237174028	1.65777850241188	1.27549502026176	1.08866726897344	3.35417871890375	0.637206218442631	0.332390798333557	0	0.949636458586702	0.408475057480941	30.8177870190762
qns31079_260	0.733628021625462	2.0047760679529	1.20241875209925	0.347380637619426	2.3692549898579	4.41974794425572	1.91819146026558	3.34642938896137	0.239941792534035	0.593393359907248	0.243393858129847	1.10682128768652	0	0	0.740323500542507	2.8486059195355	1.14902208235666	1.36175804993985	1.90475846995753	1.68626179730355	8.9891084646851	0	0.434700701524691	0	0.982422360539521	0.188048887542459	37.6399165467407
qns31079_261	0.0644309685758376	2.19802079946323	1.01568911386904	0	0.7221851974074	2.59803161164643	0	13.505306695702	0.299674430626563	2.03913013748013	0.0543758105659202	2.40165115133051	0	0.0362308316444047	0.76088598977609	2.26060894009829	1.10532174965991	0	1.78065366225115	0.549665360933676	12.6912216962796	0	0.897682525210066	0	0.995194082133948	0.435266473145399	44.9807666725202
qns31079_262	0.959310082402068	3.14907021241721	0.608002949795446	1.37566399020646	0.395071702967295	0	0.4404526140095	5.6946441187104	2.07182062592606	0.56421082675999	0	1.94185361835416	0	0.263913612201082	1.02616164942754	6.91561800379628	0.195326400040514	0.0996333865605272	1.80296559634108	0.114021826605151	10.0472515418467	0	0.366329309132354	0	0.994632696979531	0.136953374744396	38.0313220674998
