gennames	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK
CTRL	18.85	23.11	208.27	12.89	15.13	98.38	35.43	18.01	29.15	26.15	60.81	33.08	48.02	21.22	9.02	40.63
SMU1	17.3	15.02	101.93	12.79	31.8	60.74	19.32	25.36	23.04	29.23	36.05	9.31	42.4	47.39	206.77	21.33
TMEM259	19.34	17.3	97.27	12.85	48.05	211.77	28.62	14.97	25.51	32.16	41.68	9.31	60.3	22.18	36.07	22.24
GPRC5C	15.68	19.22	31.95	9.52	23.25	98.03	16.74	12.6	25.52	35.99	41.19	21.14	49.52	208.85	60.67	28.92
NMNAT1	12.96	14.86	61.21	19.3	25.45	103.49	17.38	23.34	35.89	41.11	48.85	9.31	202.82	21.25	28.4	32.32
EBLN3	19.31	15.11	63	36.14	94.59	211.62	21.41	12.79	17.24	25.36	28.97	9.31	40.91	32.16	48.63	22.94
CTBP1	19.27	15.02	97.28	12.37	22.69	211.79	25.36	9.74	47.45	36.01	41.01	17.3	33.47	21.73	60.27	28.93
CTD-3195I5.3	28.57	25.99	15.01	98.34	36.06	9.02	31.72	9.02	17.31	23.13	41.7	21.27	62.93	48.15	206.52	19.33
RP11-573D15.9	25.29	28.88	9.02	12.93	16.96	210.46	46.13	93.84	20.07	32.18	42.11	15.32	23.25	37.82	62.76	20.72
CRABP2	19.3	21.26	208.62	60.05	9.02	9.02	29.2	9.02	31.72	42.14	49.28	36.34	25.19	23.1	9.02	97.95
FN1	18.96	23.31	61.72	35.59	25.71	9.02	13.52	17.68	21.11	210.27	31.29	14.53	42.36	29.62	97.14	47.5
ENOX2	23.12	14.56	98.77	13.68	33.39	209.28	29.3	18.81	21.41	34.38	48.85	9.31	41.21	17.33	59.84	25.25
LRWD1	24.5	19.13	97.27	22.22	48.68	211.49	32.21	23.01	12.79	15.02	28.88	9.31	36.48	40.62	60.21	17.44
CADM4	21.15	15.41	32.97	9.02	48.17	9.02	17.05	28.71	23.48	35.14	41.22	19.44	93.36	212.01	64.07	25.39
DPAGT1	17.47	19.32	97.28	12.79	29.7	211.55	20.95	15.05	25.39	31.25	36.05	9.31	48.68	41.11	60.22	23.27
CTC1	32.21	36.76	97.27	17.46	60.3	211.55	25.34	9.36	28.73	20.7	48.6	12.83	40.4	15.09	19.99	22.83
NALT1	17.43	28.47	34.05	15.09	12.77	9.02	60.81	211.96	19.29	40.34	23.04	25.43	96.34	48.33	21.64	35.22
ZNF135	18.81	25	41.68	95.36	32.2	9.02	28.92	57.37	14.24	21.25	23.53	17.15	51.4	36.22	210.8	14.18
RNF115	36.05	15.02	98.85	12.79	25.28	209.62	41.11	21.2	18.75	23.56	29.17	9.31	31.6	48.68	60.26	17.82
BCKDHA	18.94	21.24	61.38	15	11.02	94.94	23.34	29.13	25.37	36.1	32.52	11.33	212.01	48.86	38.35	17.52
CTD-3113P16.11	21.66	14.92	29.53	36.97	13.22	9.02	24.98	62.29	23.58	31.44	40.09	19.22	96.83	17.17	208	49
IL32	97.29	60.31	212.02	15.12	25.41	40.9	48.68	36.2	21.2	23.24	28.81	17.41	19.06	9.36	12.74	32.16
RP11-73G16.2	9.02	40.98	9.02	9.02	9.02	9.02	32.07	48.66	25.46	23	36.13	28.91	97.27	212.01	60.15	9.02
ACCS	12.83	14.99	98.23	23.33	21.09	208.4	19.38	9.31	25.25	36.24	49.87	17.3	57.49	28.97	42.67	32.32
TP53	15.05	17.27	98.86	19.27	41.23	209.95	12.79	9.31	25.36	28.93	60.31	23.17	47.48	21.25	37.04	32.15
ZNF829	36.02	32.17	59.69	71.43	76.1	21.12	43.01	28.9	12.83	17.56	23.13	15.06	208.61	25.23	9.02	19.12
RP11-179K3.2	35.71	29.01	45.01	19.25	59.43	9.02	25.09	15.21	17.15	23.33	45.05	12.9	98.85	33.37	206.52	21.75
ZNF776	15.15	19.66	60.68	17.3	41.65	98.71	31.81	12.78	29.01	25.73	36.12	9.42	48.57	21.16	207.87	22.9
HNRNPH1	15.02	41.89	60.3	19.15	32.17	208.66	9.46	12.67	17.4	21.38	36.32	23.04	100.52	25.75	47.54	28.52
EDC4	19.72	41.24	97.29	9.02	23.83	9.02	31.96	24.58	21.32	29.02	48.53	15.54	210.21	35.36	60.9	17.7
SEPT7-AS1	21.29	32.28	9.02	49.02	25.3	9.02	17.36	19.16	37.73	39.95	97.28	29.91	23.28	210.46	9.02	59.56
RP11-106M3.3	15.06	32.33	20.02	36.08	12.77	9.02	19.59	23.33	25.44	45.54	53.72	18.24	52.48	94.88	210.35	28.48
FNBP1L	9.02	27.34	37.08	27.07	40.74	31.9	12.89	15.21	23.25	21.26	18.31	18.09	61.89	195.8	111.67	47.56
HSH2D	25.25	17.28	97.28	28.83	60.31	211.75	48.46	41.33	15.05	19.71	36.05	9.31	32.16	12.79	23.15	20.95
PODXL2	19.26	28.92	41.01	21.18	36.48	210.47	25.09	17.13	12.68	23.49	32.21	9.62	48.82	97.28	59.36	15.01
PLEKHA1	60.31	41.11	211.98	36.05	32.16	12.64	97.29	48.68	15.05	19.32	25.64	9.37	28.55	17.39	20.99	23.24
C7orf49	19.64	15.21	97.27	12.75	22.63	211.53	21.42	17.12	25.36	32.12	41.13	9.36	59.46	36.1	49.4	28.91
AC068282.3	15.06	35.67	9.02	17.32	40.84	206.69	19.2	21.04	25.47	28.7	23.75	32.34	98.79	49.01	60.27	12.91
ITIH5	27.68	42.65	95.65	26.28	21.14	33.92	19.57	14.65	17.54	13.23	61.91	9.63	211.98	45.41	34.43	23.63
CASP2	19.36	32.68	212	15.24	41.11	97.06	22.77	17.56	28.82	35.53	48.68	9.47	60.3	20.85	12.83	25.42
LRRC16A	12.79	28.87	37.18	39.97	50.51	210.76	9.31	21.48	15.05	22.93	25.43	17.28	97.28	58.19	32.12	19.3
LGALS2	17.32	19.25	25.4	9.47	23.22	48.61	14.93	12.73	41	212.02	32.12	36.15	97.29	21.2	28.84	60.31
CCL3L3	41.22	25.41	98.23	19.24	31.86	23.14	60.47	15.02	29.46	210.58	35.63	21.23	17.33	12.79	9.02	48.87
GNA11	13.04	17.43	28.61	19.38	23.06	37.22	15.05	21.1	96.68	59.98	32.44	25.47	211.92	41.63	9.02	46.94
PAQR7	20.46	25.34	35.83	17.17	31.49	9.02	20.04	23.04	29.8	60.31	210.41	42.4	98.89	15.32	12.66	47.34
RP11-486G15.2	31.65	21.29	97.29	28.54	59.83	208.4	23.19	36.98	13.26	9.42	14.58	17.33	48.29	41.02	25.91	19.27
BICC1	9.02	9.02	9.02	9.02	41.04	9.02	9.02	59.77	29.19	36.11	25.36	31.81	97.27	49.18	211.27	9.02
TRIM22	19.27	17.15	62.4	15.18	29.07	50.64	21.36	12.79	25.36	31.97	36.05	9.31	92.43	41.35	211.98	23.06
RP11-770J1.4	21.96	32.19	59.61	25.59	44.08	46.38	210.04	19.83	17.35	21.95	37.08	13.03	94.68	29.18	9.02	15.09
C5orf34	19.35	23.23	106.16	29.15	32.5	47.7	25.26	35.74	12.73	17.33	21.36	9.47	41.04	60.3	200	15.06
FAM221B	15.06	41.22	9.02	19.35	35.71	47.7	21.6	29.25	17.39	31.8	25.31	23.21	60.3	210.58	98.48	12.87
SLC25A35	17.3	20.96	211.93	12.32	35.95	75.58	15.02	31.76	26.57	19.51	41.42	9.79	67.15	23.43	62.59	27.94
GLIDR	12.79	9.31	95.52	35.47	41.31	210.45	22.87	32.7	17.33	25.31	29.59	15.02	60.45	19.51	48.95	21.51
POP5	21.22	19.27	97.28	15.02	25.45	211.9	31.6	29.35	12.79	23.2	36.05	9.31	48	41.79	60.26	17.3
EMX2	19.13	40.09	30.63	59.85	29.06	94.97	15.28	17.06	22.88	49.49	36.08	27.78	211.95	21.54	9.02	13.24
PSD	23.81	66.69	37.77	19.35	29.15	205.89	41.16	25.64	17.5	15.12	90.46	12.86	47.04	21.26	9.02	33.26
HLA-DQB1-AS1	12.96	24.5	31.48	21.18	41.14	63.44	9.37	29.08	15.13	17.91	36.12	18.92	198.65	48.75	106.06	24.32
IL3RA	9.31	19.35	31.95	22.81	25.27	44.58	16.08	36.04	13.04	29.07	41.94	16.02	60.3	212.02	97.24	21.59
CEP126	35.99	25.36	60.84	23.19	31.62	20.92	210.32	29.47	14.96	17.33	19.3	9.42	48.9	96.07	43.14	12.87
DOCK6	21.23	18.71	42.49	60.01	100.57	205.77	25.33	23.94	12.58	15.19	32.09	9.53	48.18	28.63	35.69	17.69
HNRNPCL1	40.75	58.48	9.02	33.04	9.02	9.02	21.32	28.16	23.28	35.53	50.26	19.3	211.98	97.23	9.02	25.51
ABCA5	60.12	40.93	36.34	21.26	31.98	210.74	96.74	28.73	17.33	12.89	14.99	9.31	26.51	48.37	22.98	19.3
SPTY2D1	23.33	19.27	97.28	9.31	15.76	211.74	28.88	16.44	39.84	32.26	49.45	12.79	37.49	21.2	59.14	25.25
YIF1A	23.22	15.02	60.3	12.79	28.88	211.88	19.29	17.3	21.18	32.16	48.02	9.31	41.77	36.04	97.23	25.36
OBSCN	25.64	49.2	60.97	28.91	98.32	205.89	32.12	12.82	21.38	17.52	19.11	15.35	35.95	40.81	9.02	23.24
U2AF2	23.6	15.09	98.87	17.24	36.12	210.14	19.27	12.79	32.16	28.79	41.43	9.31	48.29	21.26	60.25	25.01
R3HDM2	21.2	23.17	118.81	17.92	47.54	62.16	18.71	9.31	25.41	36.65	187.55	15.02	42	12.79	29.41	31.7
CTB-113D17.1	28.74	21.15	9.02	19.4	25.25	9.02	16.89	15.32	36.1	92.16	64.51	32.16	212.01	23.38	49.4	41.15
NLRC3	61.32	48.68	211.98	32.1	36.05	28.54	96.28	41.11	17.39	19.16	21.29	12.85	23.69	14.99	9.02	25.02
LINC01136	19.16	22.87	94.69	9.02	25.29	210.43	15.05	21.65	28.88	50.95	59.14	17.59	36.02	41.58	9.02	32.33
RP11-849F2.7	13.03	35.68	49.78	41.13	59.31	18.28	9.37	18.22	22.37	21.78	26.02	32.55	100.41	14.96	206.1	28.83
MXD4	21.22	17.3	97.28	12.75	19.27	211.63	23.2	9.36	28.57	36.2	60.31	15.02	41.84	32.2	47.62	25.67
TRA2A	20.97	39.09	60.3	16.49	38.24	211.82	12.32	9.82	15.84	23.17	48.48	19.59	97.28	29.89	25.31	31.14
CASS4	28.46	35.88	205.05	12.89	14.92	9.02	21.32	32.09	23.43	41.31	17.32	19.3	104.06	48.63	25.53	60.15
MAP7	9.37	17.51	41.45	12.83	32.42	50.52	15.09	22.93	24.92	57.96	28.98	19.09	212.01	21.94	95.68	36.32
DHRS3	46.31	43.19	211.99	9.31	23.43	32.21	97.29	36.01	15.43	21.18	25.14	17.53	60.3	12.79	28.92	18.66
PTPRE	19.27	14.91	28.87	9.31	12.91	48.42	23.22	17.3	36.05	41.22	25.42	21.2	97.29	60.3	211.98	32.1
RPGRIP1L	29.22	36.33	98.29	31.83	49.03	208.36	22.91	12.71	15	17.33	25.4	9.41	40.82	21.54	60.14	19.26
RP11-746M1.1	17.17	99.27	26.88	43.79	41.07	9.02	28.77	15.28	31.54	23.31	56.77	21.25	207.84	19.46	9.02	45.25
ZNF605	34.53	28.96	192.64	23.28	60.75	18.13	25.88	13.18	14.74	21.26	48.34	9.37	115.99	33.81	40.41	18.23
ZNF543	19.53	28.7	100.02	34.3	40.97	34.03	48.38	17.31	15.09	20.95	23.28	9.57	60.57	25.64	207.11	12.66
CTD-2659N19.10	29.28	40.93	96.39	14.85	19.37	208.47	17.39	32.44	12.46	22.44	22.03	9.85	62.45	35.48	48.24	25.46
AC007386.2	22.85	21.36	17.7	41.32	96.83	210.78	25.17	28.91	13.13	14.83	19.35	9.42	49.47	32.36	55.41	35.45
SRPX	28.82	32.24	9.02	9.02	9.02	47.84	9.02	35.77	9.02	9.02	9.02	9.02	60.14	212.01	96.9	40.74
HMGA1P4	14.89	9.37	31.42	23.28	48.89	59.42	19.3	28.84	17.31	26.06	36.01	13.03	210.45	41.2	98.09	21.29
ZNF740	20.79	19.74	97.26	12.82	48.32	211.56	17.26	15.06	25.44	38.6	32.18	9.31	59.53	23.31	39.06	29.18
CYP20A1	28.88	22.83	97.28	16.96	48.68	211.76	25.34	15.39	12.79	21.61	60.31	9.31	35.75	41.11	32.41	19.24
RP11-338K17.8	35.52	60.08	95.84	41.89	25.42	9.02	28.92	9.02	9.02	19.53	32.72	21.57	211.91	48.9	9.02	22.57
LRRC69	14.85	26.55	96.71	18.82	28.41	59.32	20.94	17.35	13.6	31.74	40.94	9.36	211.98	36.43	49.13	23.38
RNASEK-C17orf49	15.09	23.08	19.61	28.42	21.1	32.28	17.43	12.88	48.59	97.29	60.1	41.03	211.95	25.95	9.02	35.55
GPM6B	25.47	21.26	48.8	23.25	41.03	33.65	28.98	34.18	9.31	12.96	19.27	14.89	60.17	212.02	97.18	17.28
ERN1	37.27	32.57	60.3	9.31	14.96	211.87	28.92	17.3	19.29	24.81	23.77	12.85	41.43	97.29	44.04	21.18
RP11-435I10.4	21.14	32.1	9.02	17.33	19.44	9.02	41.2	14.96	25.42	29.02	23.46	36.22	60.16	48.56	210.34	96.28
CHKB	15.33	17	97.28	9.31	23.16	211.4	20.38	20.13	31.91	48.46	37.67	12.79	39.67	28.58	60.23	25.91
FANCD2	21.43	22.95	212	32.21	36.18	96.89	15.06	25.56	12.79	18.27	28.61	9.31	60.29	46.87	42.64	18.34
KANK3	36.1	41.06	61.85	23.04	17.43	205.9	98.88	49.52	21.24	28.73	25.69	19.18	31.95	12.85	9.02	15.09
PON2	19.36	17.3	60.14	9.31	15.02	41.01	32.16	36.04	23.11	25.93	21.22	12.79	97.29	48.74	211.86	28.31
AC004893.11	17.94	25.3	23.24	32.42	191.69	106.95	34.84	21.35	15.76	41.03	49.01	9.47	61.76	29.95	18	12.9
ZFP82	28.96	23.95	67.65	48.43	182.95	19.32	25.47	35.83	9.41	17.13	21.09	12.78	118.83	31.53	41.04	15.26
STK38L	17.11	15.19	48.67	9.31	23.22	211.81	19.27	12.82	25.88	41.04	35.73	21.2	60.3	32.54	97.21	28.36
CTC-529I10.1	19.37	17.27	61.85	15.13	36.2	205.89	23.39	9.46	25.86	41.01	29.35	12.93	96.21	47.65	33.77	21.15
PLIN5	26.27	19.32	23.01	27.39	15.87	9.02	16.95	9.02	49.17	62.02	40.87	32.3	97.29	21.3	208.11	36.07
ONECUT3	16.53	31.16	23.67	25.57	21.23	9.02	37.59	49.74	15.96	19.44	36.95	12.9	97.83	33.5	206.52	59.02
MT1X	32.16	28.88	212.01	9.31	15.11	97.15	25.34	17.22	60.31	40.26	37.08	21.23	19.27	12.79	23.19	48.5
LINC01212	22.74	25.46	37.77	20.43	60.81	205.9	20.75	16.26	16.22	31.38	48.6	9.63	98.87	39.51	29.43	12.65
TMA16	15.02	17.3	96.82	23.22	32.16	211.8	12.79	25.36	19.27	28.88	41.11	9.31	48.68	36.04	60.72	21.2
NUCKS1	27.64	23.22	212.02	15.05	41.11	97.13	31.99	21.2	12.79	19.27	26.77	9.31	60.3	36.05	48.66	17.28
LRRN2	18.29	36.04	9.02	30.58	60.08	9.02	20.94	42.03	18.64	47.77	29.73	15.06	179.64	23.52	127.88	26.95
CADM1	41.22	32.95	61.29	9.37	21.38	210.78	35.19	23.12	15.13	12.93	19.25	17.34	96.27	29.12	47.78	25.26
HSF4	21.32	49.93	17.5	18.98	28.79	105.84	15.19	9.02	23.66	36.51	40.9	25.34	201.33	31.87	9.02	59.61
AP1G2	21.2	25.61	212	12.82	41.11	97.08	15.02	31.62	17.39	23.22	36	9.31	59.96	29.21	48.97	19.15
INSR	9.41	19.13	21.22	17.44	23.19	96.57	12.84	14.88	36.07	41.04	61.95	28.72	210.08	25.52	48.95	32.21
PLA2G6	27.74	24.76	150.59	21.2	41.16	147.83	33.35	60.74	17.62	12.5	15.06	9.67	25.13	34.96	48.37	18.85
RP11-166O4.6	25.9	32.26	41.21	24.82	96.76	9.02	19.27	26.09	15.02	21.85	36.35	12.79	212.01	59.92	48.91	17.3
EAF1-AS1	28.91	41.02	96.92	9.31	12.79	207.14	25.97	20.18	15.06	18.77	36.1	22.24	49.38	31.9	62.07	19.91
RP11-798G7.6	25.36	23.2	210.33	13.14	17.21	96.26	41.49	19.03	15.16	29.69	31.5	9.31	49.11	36.03	60.59	21.05
C20orf197	36.26	25.39	97.73	12.83	19.1	60.15	48.85	15.32	32.22	41.08	17.26	23.24	210.39	21.26	9.02	28.93
RP11-722G7.1	23.25	26.25	210.16	28.29	98.98	58.98	32.53	35.92	16.37	19.41	21.12	12.92	47.84	41.83	9.02	15.85
RP11-205M3.3	19.26	23.43	32.83	40.18	49.43	205.9	25.29	12.87	15.85	29.22	36.9	21.26	97.93	16.55	9.02	60.16
CALN1	25.46	98.88	44.77	32	45.24	9.02	25.82	59.31	23.16	19.49	36.35	15.68	209.81	24.33	9.02	16.61
ZNF397	25.36	21.2	91.75	32.33	65.41	207.37	23.2	18.89	12.79	16.36	41.09	9.31	36.15	28.91	49.41	16.37
PLEKHF1	60.18	40.16	211.98	16.81	30.58	48.62	97.29	36.99	19.29	21.21	23.16	12.83	30.36	9.36	15.44	25.41
SERPINF2	9.31	23.1	35.59	13.16	19.14	48.45	14.66	32	21.35	29.29	25.46	17.51	96.26	212.01	61.27	41.02
NUP155	19.61	25.38	210.06	12.79	32.37	98.89	15.26	28.74	17.21	23.33	48.26	9.31	60.3	36.04	41.23	20.71
MRPS5	21.49	17.3	97.29	12.79	31.66	211.75	19.27	15.02	25.36	29.38	60.16	9.31	48.43	36.05	41.46	22.93
SNHG25	17.36	44.15	97.29	21.57	25.63	211.78	12.85	14.97	60.31	44.97	32.48	28.6	22.95	9.31	19.18	36.31
CTD-2199O4.1	32.94	49.94	41.9	19.54	20.97	9.02	95.84	28.64	15.12	17.33	35.48	23.68	211.99	25.41	9.02	58.95
RP11-77P16.4	12.84	28.62	98.66	54.21	53.49	208.99	17.23	25.56	14.72	21.04	23.37	19.29	36.07	42.12	31.93	10.03
GJC1	65.35	46.95	41.73	23.04	91.55	9.02	21.11	25.36	15.06	19.84	29.48	17.3	211.92	32.19	36.59	12.86
ATP8B3	25.13	22.94	211.89	12.85	17.22	48.47	32.28	9.52	29.03	36.14	41.45	19.15	60.7	21.83	95.24	15.14
GABBR1	18.94	23.3	25.31	21.2	29.07	211.06	17.63	12.79	41.3	48.98	97.29	36.05	31.92	15.02	9.02	59.82
CTD-2035E11.5	23.66	60.44	96.11	35.35	31.03	50.2	14.68	19.63	13.22	21.05	41.22	9.47	210.56	30.58	17.34	24.83
MPV17	17.32	15.02	97.28	12.79	28.88	211.83	21.22	25.15	19.4	35.53	41.11	9.31	48.68	32.68	60.27	23.26
RP1-193H18.2	17.45	32.16	48.23	15.06	28.69	9.02	21.53	25.48	60.78	36.12	19.21	23.14	96.61	212.01	9.02	41.22
DNAH17	15.09	23.1	97.23	19.53	9.02	9.02	36.3	41.12	25.68	21.33	31.41	17.39	209.6	61.69	48.35	29.47
ZNF600	41.21	28.92	61.76	25.36	35.53	51.47	96.75	207.89	15.02	17.3	23.17	9.42	32.63	21.14	12.63	19.38
NET1	12.62	21.52	97.27	15.19	18.46	210.76	30.91	17.91	26.95	22.88	28.58	9.52	60.3	48.33	41.34	36
DFNB31	89.86	41.46	211.83	35.94	49.29	9.02	28.97	66.76	21.21	24.72	32.09	19.62	14.92	23.53	9.02	17.33
TRBV14	103.54	205.32	59.9	21.08	23.03	9.02	36.04	9.02	25.52	32.08	42.29	29.22	19.19	9.02	9.02	47.6
FCRL6	62.98	47.64	96.52	9.41	25.55	33.65	210.09	42.15	21.24	23.15	31.91	15.09	19.41	12.81	17.06	30.03
RP11-1246C19.1	15.2	35.08	97.44	18.14	60.6	205.91	22.76	19.32	13.35	25.57	34.94	20.46	48.7	38.12	9.02	31.4
RP13-631K18.2	25.15	34.89	97.22	20.92	59.88	9.02	19.66	23.2	17.45	33.8	48.06	15.02	211.95	40.52	9.02	29.92
AP000704.5	23.47	31.15	62.18	19.35	25.4	205.9	30.23	36.15	15.06	12.9	21.29	17.36	48.59	97.28	40.7	9.02
Z83844.1	15.6	48.79	210.16	18.97	12.77	9.02	22.29	41.42	24.61	32.55	60.65	17.38	27.26	24.26	97.02	35.79
TCTN2	23.1	29.63	211.81	60.59	35.58	33.58	21.48	12.99	9.42	17.09	19.33	15.23	96.3	40.18	25.59	47.57
RP11-244H3.4	35.69	31.15	12.95	15.15	23.13	9.02	30.35	96.92	25.36	21.29	41.1	19.04	53.73	62.82	202.02	17.23
OXLD1	19.27	23.28	98.72	12.79	48.57	210.12	17.35	25.42	21.17	32.27	60.31	9.31	36.82	15.02	40.24	28.74
WDR13	19.29	17.03	97.28	15.24	29.12	211.7	21.21	12.58	36.42	48.68	60.31	9.58	25.31	23.24	32.04	40.57
KLHL9	18.43	20.57	97.27	9.31	15.09	210.45	18.83	24.57	39.3	32.77	48.68	12.79	60.3	37.24	23.96	28.71
RBPMS	21.75	28.81	23.86	19.32	41.13	9.02	35.41	48.04	15.09	12.89	24.19	17.24	61.34	212.01	95.72	33.21
SLC47A1	23.24	19.5	36.69	14.17	47.97	9.02	25.73	32.07	21.02	41.49	28.99	13.76	96.71	212.01	59.66	17.19
ZRSR1	19.58	23.2	9.02	41.05	28.37	9.02	32.24	48.95	17.5	21.23	59.82	15.36	100.55	35.98	207.07	25.19
TRIM54	23.32	36.34	49.48	9.02	31.88	92.86	59.96	211.97	28.77	19.29	15.19	25.65	41.28	21.13	9.02	17.3
ZNF283	42.32	24.86	208.68	46.54	27.8	31.44	36.12	22.42	16.82	19.77	60.12	9.37	100.02	15.7	23.12	12.87
MFSD3	17.41	15.05	41.68	12.65	28.18	211.65	23.15	19.18	21.23	31.9	36.24	9.46	95.36	61.14	48.88	26.28
G0S2	22.63	21.3	32.63	25.02	29.01	210.42	20.09	9.47	41.11	97.29	53.74	35.31	15.06	12.72	17.07	55.23
SLC37A1	17.71	14.96	59.71	28.84	36	211.39	22.07	22.28	18.96	25.32	41.22	9.31	49.74	96.69	32.13	12.85
RBFOX3	30.4	19.25	61.92	15.09	30.95	9.02	210.26	25.43	13.06	17.62	40.15	22.72	96.72	21.18	48.78	36.93
EFNA5	61.35	48.24	28.76	9.02	31.98	9.02	209.8	98.45	19.33	25.5	23.34	21.26	41.4	35.68	9.02	9.02
AGAP2	49.2	35.39	211.98	23.19	31.67	59.58	41.45	30.06	21.38	13.08	19.23	9.31	96.76	14.74	25.07	17.41
ZNF556	21.41	41.1	93.78	29.16	23.11	50.96	19.14	17.48	14.86	12.98	28.53	9.31	208.22	64.69	35.79	29.09
PKP2	9.68	28.93	35.33	24.11	24.25	47.86	19.92	16.75	41.21	60.15	97.29	21.19	212.01	12.87	15.52	32.22
FAM76A	23.86	32.16	67.25	25.14	36.05	201.76	18.83	9.31	15	19.35	41.11	12.82	99.35	28.38	48.6	19.68
COX16	15.51	19.37	95.64	12.69	21.54	211.73	16.82	28.88	23.55	32.16	41.23	9.41	61.95	36.34	48.21	24.58
ZNF329	36.82	26.02	100.39	19.05	48.75	17.91	39.66	30.61	12.93	22.86	21.91	9.37	208.82	59.27	30.11	15.09
C15orf52	17.35	15.27	25.28	21.21	58.62	9.02	12.86	19.36	32.12	52.47	36.02	23.19	211.97	43.7	28.39	92.32
TNFRSF9	41.56	32.16	211.88	28.75	12.95	94.97	36.18	55.23	19.41	25.49	21.65	15.03	52.9	17.23	9.02	22.86
MAP3K12	17.38	25.91	210.04	19.25	23.28	47.31	14.87	9.55	21.26	32.11	72.5	49.97	77.52	12.71	27.15	36.5
IGLL1	17.39	20.97	48.17	60.29	36.35	209.9	15.74	23.12	41.82	12.79	19.15	29.15	95.93	25.47	9.02	31.82
HIST2H2AA3	23.35	25.45	9.02	32.21	9.02	9.02	21.08	9.02	41.97	96.11	60.65	48.67	211.95	35.77	9.02	28.8
IFI27	25.38	29.11	50.45	9.47	31.88	99.87	21.31	17.31	58.67	36.49	208.35	12.99	22.69	15.1	18.44	41.04
EIF4ENIF1	17.28	12.79	96.23	15.05	29	211.37	21.24	19.31	24.51	32.04	36.05	9.31	41.3	48.74	60.98	23.99
TRABD	19.27	17.12	97.29	9.31	15.21	211.64	21.2	23.24	36.01	28.88	32.2	12.79	41.2	48.59	60.27	25.33
RP11-805J14.5	25.36	21.26	98.57	9.75	58.89	200.07	19.28	17.28	26.18	32.16	36.5	15.13	43.82	26.58	46.13	12.62
RASAL3	48.81	32.16	212	12.79	28.57	97.07	60.18	41.11	15.02	18.05	36.05	9.31	25.66	19.98	22.69	20.21
SLC18A2	23.17	36.28	9.02	12.81	41	47.96	15.51	25.95	19.46	28.58	31.92	16.85	96.75	211.99	60.33	21.28
LDOC1L	48.66	25.56	211.96	12.89	19.18	22.86	37.62	14.99	33.8	88.7	38.85	21.23	67.9	17.45	9.02	28.73
LAMP5	12.72	9.41	36.31	17.86	28.88	96.47	15.03	40.82	23.38	32.16	21.17	18.73	60.78	212.01	48.59	25.17
RP1-225E12.2	25.5	49.01	22.11	23.59	35.64	205.9	12.86	17.5	15.2	40.32	60.65	28.95	98.85	19.3	9.02	31.77
CLYBL	21.35	40.55	98.27	23.16	49.18	59.99	19.27	36.17	9.37	17.3	25.65	12.74	210.25	32.79	28.37	15.02
PIK3CD-AS1	17.07	15.27	36.44	22.87	25.51	209.14	12.96	21.27	31.73	29.31	40.53	9.31	59.43	49.74	98	19.34
TP73-AS1	16.9	15.65	207.35	25.62	41.98	98.73	32.99	10.07	21.18	27.78	24.2	12.04	19.15	48.35	61.94	35.24
ALKBH6	28.52	19.52	98.86	13.52	32.2	209.66	36.7	25.69	14.32	23.16	41.01	9.31	54.77	21.02	53.55	17.28
UQCC3	17.67	18.84	97.28	9.31	25.36	211.76	23.19	15.08	36.11	41.68	50.02	12.79	32.02	21.22	58.27	29.01
FAM153B	12.9	210.53	57.89	36.41	32.21	9.02	28.41	25.67	17.36	23.28	21.41	19.27	98.31	41.83	48.85	14.99
LGALS9B	97.29	49.19	211.99	25.43	59.63	9.02	21.02	32.43	19.14	23.24	29.28	9.02	36.07	40.4	9.02	9.02
LINC00092	60.78	48.57	98.66	9.02	23.06	9.02	210.08	9.02	21.26	30.05	25.86	30.61	40.9	9.02	9.02	36.12
GNG11	23.22	17.22	32.29	41.11	60.3	35.41	21.2	12.81	15.08	19.27	25.46	9.31	28.88	48.67	97.12	212.02
ZNF711	25.36	21.23	33.39	34.95	49.37	63.81	23.19	28.97	17.33	9.42	13.86	19.24	97	41.05	206.56	13.85
RGCC	36.05	48.68	60.78	12.69	26.16	210.25	20.79	19.49	15.19	28.05	17.32	9.42	41.11	23.23	98.23	32.16
GPR183	25.36	28.88	48.86	23.22	40.6	32.24	12.79	36.42	15.11	19.27	17.22	9.31	60.11	97.29	211.98	21.2
HOPX	48.68	32.19	212.01	17.2	41.05	35.97	97.29	60.3	21.18	19.32	25.25	9.31	23.3	12.79	15.1	28.88
RP11-74E22.8	26.56	23.66	211.88	26.91	21.54	38.49	19.79	17.33	12.68	15.13	32.82	9.63	96.74	39.61	59.3	46.89
TRGV10	212.02	50.06	97.23	16.2	31.79	9.02	58.93	41.1	22.88	21.02	34.49	25.63	30.27	16.19	9.02	19.93
HLA-DQB2	21.02	19.29	25.48	41.22	60.31	48.44	12.79	15.05	9.31	28.88	32.04	17.43	212.02	36.04	97.22	23.22
LPXN	21.59	15.02	210.57	9.31	28.88	61.16	19.27	17.3	35.95	32.25	25.36	12.79	48.67	41.11	97.68	22.83
EPHB1	17.29	15.13	35.65	9.52	23.36	48.39	21.3	41.03	19.17	25.65	28.73	12.95	60.3	111.27	197.86	31.82
