gennames	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK
PHLDB2	59.1	32.32	211.87	20.06	17.13	9.02	97.29	29.03	15.1	20.78	22.93	12.89	49.78	25.41	35.79	40.88
MARVELD3	34.92	93.36	19.57	27.51	62.75	9.02	21.42	23.83	13.28	14.99	48.02	31.96	211.98	27.05	42.68	17.08
DENND5B	21.01	15.21	31.72	41.31	64.18	211.71	25.31	28.78	12.84	23.55	19.59	17.06	36.04	48.48	93.22	9.41
PPBP	32.27	19.24	97.26	25.35	41.14	49.56	21.35	15.02	28.93	36.14	58.36	12.76	9.47	23.06	17.21	212.02
LINC01089	17.61	28.88	57.66	12.82	35.5	97.33	15.09	20.82	19.26	23.22	32.7	9.31	207.94	44.73	51.08	25.34
PREB	17.35	15.02	97.28	12.65	31.94	211.87	24.29	21.23	28.64	19.33	36.05	9.46	42.63	47.16	60.23	24.6
LINC00996	25.25	23.41	32.46	21.35	48.61	58.98	35.78	41.46	9.74	14.97	17.27	12.76	97.28	212.01	28.73	19.17
RGS7	9.02	17.3	48.73	41.21	32.17	35.37	9.02	28.65	19.2	21.13	25.47	23.23	60.07	212.01	97.05	9.02
ZNF618	21.14	12.83	9.02	23.22	61.31	17.27	25.47	36.82	15.08	40.62	29.42	19.17	95.42	49.02	211.3	31.67
LSINCT5	40.78	36.47	100.33	9.85	22.95	206.38	60.28	31.53	15.16	19.56	21.27	12.35	49.06	28.44	26.1	17.23
PRSS21	31.14	42.32	97.26	13.41	17.48	210.38	15.33	20.6	18.78	47.36	36.26	24.36	9.82	23.91	59.97	29.68
DAGLB	21.18	19.24	32.75	17.35	24.64	34.4	14.86	9.31	203.05	62.87	50.83	24.1	28.75	12.96	101.09	40.84
ANKDD1B	31.97	23.23	9.02	9.02	36.07	206.65	61.35	98.32	15.13	17.35	29.22	19.51	41.22	21.21	47.78	25.15
ARHGAP22	15.1	19.2	60.12	13.29	27.68	9.02	17.23	21.28	24.21	96.7	35.73	25.91	212.01	31.93	40.93	48.79
RP11-2H8.2	32.21	47.45	9.02	43.46	198.35	9.02	35.61	60.71	19.29	23.4	25.18	17.33	109.37	29.26	9.02	21.15
CTD-2017F17.2	15.02	17.3	62.53	19.69	20.85	207.52	9.31	12.79	48.46	40.74	31.67	23.14	98.22	29.5	36.23	25.55
LAMB2	15.09	19.29	35.87	12.77	59.64	205.89	21.12	17.42	41.46	50.12	31	30.46	98.32	23.47	9.02	25.27
ABHD16A	19.71	20.97	59.31	9.57	31.81	210.47	17.5	12.71	29.26	23.55	36.19	14.96	97.28	48.49	41.97	24.5
LINC00865	13	25.36	9.02	31.79	17.44	59.76	14.96	41.19	21.35	36.12	23.19	19.05	97.28	212.01	48.36	29.11
WDR66	21.38	28.88	32.99	41.11	35.19	48.55	9.41	15.35	12.7	17.66	25.36	18.72	60.12	97.29	211.47	22.89
CCND2	48.39	41.4	97.28	15.03	28.88	211.64	60.31	36.04	18.94	21.79	12.86	9.36	32.15	17.71	22.07	25.34
SNRNP25	15.06	12.79	65.36	21.2	32.16	211.65	17.29	19.24	23.22	28.88	36.05	9.31	41.11	48.68	92.17	25.36
WDR90	23.43	26.53	211.86	17.16	28.62	94.97	9.37	19.49	15.23	31.42	36.6	12.93	59.07	20.99	50.01	40.91
ZNF789	22.24	20.78	96.01	17.29	36.12	50.27	25.4	29.06	15.06	20.64	31.93	9.31	41.33	59.44	211.83	12.79
GOLIM4	12.79	15.02	48.67	9.31	20.97	209.93	19.45	41.11	23.35	28.91	36.05	17.43	98.87	32.12	60.24	25.15
CTD-3214H19.4	19.33	23.61	92.48	15.07	9.02	9.02	17.29	21.14	35.48	33.23	62	25.41	210.17	28.66	42.11	48.76
ZNF362	19.3	17.33	98.7	12.82	31.78	27.7	21.23	9.41	30.82	47.87	40.33	15.02	60.13	23.31	210.34	33.42
KIFC2	17.36	23.78	21.7	12.79	64.3	38.26	15.09	9.31	38.8	27.25	48.78	19.38	208.9	31.68	26.67	95.82
LCTL	36.83	31.6	99.95	22.46	40.49	206.68	22.01	25.38	19.19	15.05	48.67	17.36	60.42	29.54	9.02	12.74
ZNF428	32.16	23.2	201.69	12.79	25.36	104.29	36.85	19.28	15.02	28.88	21.2	9.31	40.3	48.68	60.26	17.3
ZKSCAN7	26.19	32.63	96.75	27.25	24.03	9.02	35.6	61.53	19.27	21.31	41.25	15.09	210.23	48.76	9.02	17.24
CPVL	12.82	15.02	25.41	9.31	21.2	32.14	17.28	19.26	36	97.29	48.58	23.22	212.01	28.82	60.25	41.21
RP11-78A19.3	15.06	32.28	12.91	28.32	51.39	205.89	20.96	20.07	22.84	41.27	58.99	17.81	97.87	25.42	9.02	36.09
HIP1	19.29	17.3	36.22	9.31	12.79	95.58	21.25	25.63	41.05	28.69	23.17	15.02	60.81	48.85	211.72	32.27
SNIP1	48.91	41.32	211.97	12.77	25.33	59.47	97.29	32.46	19.37	21.21	28.83	9.37	35.8	15.12	17.15	23.16
TMEM159	17.3	19.27	97.28	15	38.29	211.38	12.82	9.31	21.4	25.89	49.02	24.3	36.81	27.03	59.83	34.12
NPIPA1	35.94	15.87	60.27	19.2	40.92	98.99	23.04	31.88	13.6	15.84	21.51	9.37	28.45	48.68	26	210.09
RP11-164H13.1	21.37	35.98	9.02	212.02	97.29	48.11	25.56	15.09	19.68	31.99	17.48	23.28	12.86	59.98	40.56	28.8
RSPH9	18.49	21.29	48.86	13.73	41.53	100.4	15.91	23.54	26.8	27.3	36.43	10	206.36	15.84	60.37	32.03
NUCB2	29.11	25.36	98.9	9.31	15.02	210.21	35.78	48.68	19.09	21.43	22.99	12.79	41.11	60.3	32.14	17.48
LLNLR-245B6.1	23.27	15.05	97.28	9.31	19.44	211.62	20.97	17.33	41.54	60.17	36.31	12.79	25.75	29.39	47.89	31.35
LA16c-OS12.2	19.59	34.59	26.2	192.78	12.9	9.02	28.99	17.27	23.14	42.05	33.31	21.06	107.87	15.22	50.31	64.98
RP11-247L20.4	17.43	31.2	25.05	35.34	60.8	205.89	22.97	30.47	12.83	21.3	48.75	15.32	98.86	41.31	9.02	19.67
ZNF664	22.06	17.31	97.26	9.31	31.81	211.01	22.74	12.81	19.41	42.74	27.09	15.05	48.02	35.97	58.7	27.38
CACNB4	19.15	25.46	9.02	17.2	41.11	208.19	12.85	21	23.27	35.57	31.86	15.4	59.97	48.99	98.59	29.44
RP11-66H6.3	31.87	41.23	211.86	25.44	59.38	9.02	49.22	23.21	13.13	21.21	97.29	14.76	35.91	29.32	19.16	17.33
ETS1	41.11	60.77	212.01	24.05	32.16	96.66	48.68	36.04	14.83	12.99	18.64	9.31	28.79	24.58	17.91	21.2
SLC3A1	35.5	59.25	100.92	29.92	41.53	9.02	23.33	17.21	15.06	21.01	26.82	19.41	206.65	30.94	9.02	49.83
PPP2R3A	33.14	60.31	35.78	48.57	20.69	9.02	16.74	19.65	15.85	23.38	27.29	12.83	211.99	27.36	96.99	39.62
ZC3H4	20.7	33.06	99.11	18.6	27.96	59.8	14.4	9.73	27.19	34.22	48.85	23.02	210.17	17.42	14.23	41.11
