Mixture	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK	P-value	Correlation	RMSE	Absolute score (sig.score)
qns31079_132	0.469020889570249	0	0.957196620315321	0.391671603720338	0.514547724470271	0.982473385997887	0.440055381345923	0.267862569070693	5.17328179492387	0.554034880241973	2.1331873049184	0	0.200075287416109	0.406999423328	0.817526170044341	0.841349614234571	0.0106382978723404	0.14349606617877	0.991353961235428	14.1492826495979
qns31079_133	0.51687970327208	0	0.919880059087923	0.267842395748007	0.739061820643667	0.892602818288994	0.743273827460361	0.32278595628269	2.57702591412772	1.09179818684898	1.2823142516891	0	0.524735076429441	0.580768195716447	0.773304813531509	0.838917032267289	0.0106382978723404	0.123720804461113	0.992610862779099	12.0711900513942
qns31079_134	0.243578543465629	0	0.699078001028838	0	0.316815920710186	0.60992421459512	0.522596870053637	0.351397427972099	6.60031954206162	0.192526384081478	1.49538808933779	0	0.262238624645404	0.176764637329991	0.609716692958288	0.350201678095509	0	0.265478697051569	0.969194773309641	12.4305466263356
qns31079_135	0.934826270810056	0.0128374311412978	1.06411329346445	0.281576817992785	0.596714070123961	1.03420309738425	0.642075469786758	0.321806670283056	3.12189617729434	1.32123782693084	1.42449089041704	0	0.357109457496621	0.483989377840474	0.804598507890625	0.996668081112629	0.0106382978723404	0.120568769713913	0.992804382937572	13.3981434399692
qns31079_136	2.12747793122584	1.18145734158745	1.93969634705662	2.07140282601619	1.8929385466267	1.9906650210757	1.77816999482282	1.38693496187487	4.0217034762376	1.94684643837777	2.31451982724195	0	1.53237702633137	1.80283153791431	1.87461984440845	1.65809423776077	0.138297872340426	0.0509769494541208	0.998514750963321	29.5197353585584
qns31079_137	0.583415359944083	0	1.18726498722111	0	0.856333113668259	1.12018896990566	1.04816110578034	0.0290152507445583	5.73124667849615	0.553956813375638	2.3628802219994	0	0.556824183147445	0.763924453903542	1.06259755910672	0.886840007620962	0	0.228418173955978	0.974834417276411	16.7426487049139
qns31079_138	1.03913625439743	0.138109143692939	0.987251473205837	0.360537508224302	0.738423117680377	0.897210871611213	0.681753599153183	0.459349283639776	3.70019860443131	0.897579089109296	1.68955876576799	0	0.387980447480691	0.564223959050196	0.847931951422323	1.01259097171493	0.0106382978723404	0.150546366282014	0.988678634363076	14.4018350405818
qns31079_139	1.46087784656189	0.792146730374852	1.57564412902638	1.66159818489908	1.46733906079869	1.62991860623728	1.39753966816705	1.15509766632969	2.83545502314495	1.50122583554064	1.68644882013114	0.727813753113494	1.15993685355128	1.45716854244956	1.47379274414823	1.43274769062244	0.0425531914893617	0.0853169723767015	0.99677618172679	23.4147511550966
qns31079_140	2.14187513877194	0.143564722576359	1.57168578139715	0.886803713725251	1.35015527615777	1.52662576766192	1.30662831191998	1.05105936008922	4.29608195376599	1.22448736390898	1.95375634637654	0	0.945414681312192	1.12003090550166	1.40611608143047	1.10751135639813	0.0957446808510638	0.0626807208145637	0.998125870126943	22.0317967609935
qns31079_141	0.765339756363688	0.143656002269727	0.979050190564884	0.520960105425412	0.778549703032217	1.04575080764908	0.751527856177848	0.57024706263576	5.2857841669402	1.00287908799862	2.19351140237778	0	0.439201668924508	0.627068694760322	0.928324655788828	1.04743851516018	0.0106382978723404	0.152625829138093	0.989002563517711	17.0792896760691
qns31079_142	0.327625420040665	0	0.749463631418403	0.0452138304585272	0.364376223446127	0.739232477210996	0.353051385625331	0.220658254228316	5.24470246652977	0.419150446771534	1.60940665680455	0	0.29634672694412	0.258090709277359	0.592762518854114	0.845442234661609	0	0.240295307005872	0.972347100207418	12.0655229822714
qns31079_143	1.79743288923314	0	1.08495823575495	0.712642782311536	0.737805233377376	1.09232416400812	0.809935572539293	0.432618388175649	5.49812466237884	1.21585981820629	2.30842168199628	0	0.198374625303873	0.608193410837687	0.945678182584419	0.574870889693806	0.0106382978723404	0.134649478500032	0.992731143845347	18.0172405364013
